id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2009
154,32,JAWA BARAT,3271,KOTA BOGOR,256414,RUPIAH/KAPITA/BULAN,2009
155,32,JAWA BARAT,3272,KOTA SUKABUMI,269925,RUPIAH/KAPITA/BULAN,2009
156,32,JAWA BARAT,3273,KOTA BANDUNG,262093,RUPIAH/KAPITA/BULAN,2009
157,32,JAWA BARAT,3274,KOTA CIREBON,230810,RUPIAH/KAPITA/BULAN,2009
158,32,JAWA BARAT,3275,KOTA BEKASI,299432,RUPIAH/KAPITA/BULAN,2009
159,32,JAWA BARAT,3276,KOTA DEPOK,283218,RUPIAH/KAPITA/BULAN,2009
160,32,JAWA BARAT,3277,KOTA CIMAHI,262440,RUPIAH/KAPITA/BULAN,2009
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,243897,RUPIAH/KAPITA/BULAN,2009
162,32,JAWA BARAT,3279,KOTA BANJAR,179144,RUPIAH/KAPITA/BULAN,2009
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,214338,RUPIAH/KAPITA/BULAN,2010
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,184127,RUPIAH/KAPITA/BULAN,2010
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,202438,RUPIAH/KAPITA/BULAN,2010
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,217452,RUPIAH/KAPITA/BULAN,2010
167,32,JAWA BARAT,3205,KABUPATEN GARUT,180406,RUPIAH/KAPITA/BULAN,2010
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,186126,RUPIAH/KAPITA/BULAN,2010
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,208960,RUPIAH/KAPITA/BULAN,2010
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,200171,RUPIAH/KAPITA/BULAN,2010
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,230346,RUPIAH/KAPITA/BULAN,2010
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,263377,RUPIAH/KAPITA/BULAN,2010
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,230637,RUPIAH/KAPITA/BULAN,2010
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,264576,RUPIAH/KAPITA/BULAN,2010
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,234803,RUPIAH/KAPITA/BULAN,2010
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,226118,RUPIAH/KAPITA/BULAN,2010
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,266597,RUPIAH/KAPITA/BULAN,2010
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,271901,RUPIAH/KAPITA/BULAN,2010
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,216388,RUPIAH/KAPITA/BULAN,2010
